Name,Intelligence,Strength,Speed,Usefulness,Power Rating,Description
Mister Sinister,1,1,1,0,0.75,"Mister Sinister has abilities such as accelerated healing, durability, flight, animal attributes, longevity, intelligence, super strength, telepathy, energy blasts, duplication, size changing, stamina, super speed, animal oriented powers, teleportation, telekinesis, shapeshifting, reflexes, force fields, self-sustenance, power nullifier, mind control, molecular manipulation, mind blast, and so on."
Molten Man,50,73,23,53,49.75,"Molten Man has abilities such as durability, super strength, heat generation, heat resistance, and so on."
Moon Knight,50,36,23,28,34.25,"Moon Knight has abilities such as marksmanship, weapons master, super strength, stamina, reflexes, telepathy resistance, and so on."
Moonstone,56,67,47,79,62.25,"Moonstone has abilities such as durability, flight, super strength, energy blasts, super speed, intangibility, molecular manipulation, light control, and so on."
Morlun,63,60,35,59,54.25,"Morlun has abilities such as agility, durability, super strength, stamina, super speed, immortality, reflexes, and so on."
Moses Magnum,75,28,12,55,42.5,"Moses Magnum has abilities such as seismic power, and so on."
Ms Marvel II,38,63,23,11,33.75,"Ms Marvel II has abilities such as durability, super strength, and so on."
Multiple Man,63,11,23,28,31.25,"Multiple Man has abilities such as duplication, and so on."
Mystique,75,12,23,58,42.0,"Mystique has abilities such as agility, accelerated healing, stealth, marksmanship, weapons master, longevity, intelligence, super strength, stamina, shapeshifting, molecular manipulation, toxin and disease resistance, telepathy resistance, and so on."
Namor,1,1,1,0,0.75,"Namor has abilities such as agility, accelerated healing, cold resistance, durability, flight, underwater breathing, longevity, intelligence, super strength, telepathy, stamina, super speed, enhanced senses, reflexes, animal control, sub-mariner, radiation absorption, and so on."
Namora,50,85,42,41,54.5,"Namora has abilities such as accelerated healing, durability, flight, underwater breathing, longevity, super strength, telepathy, stamina, super speed, reflexes, and so on."
Namorita,50,72,47,30,49.75,"Namorita has abilities such as agility, accelerated healing, durability, flight, longevity, super strength, stamina, super speed, reflexes, and so on."
Nick Fury,75,11,23,25,33.5,"Nick Fury has abilities such as weapons master, longevity, and so on."
Nightcrawler,50,10,47,52,39.75,"Nightcrawler has abilities such as agility, stealth, teleportation, camouflage, reflexes, wallcrawling, vision - night, and so on."
Northstar,50,18,83,70,55.25,"Northstar has abilities such as durability, super speed, reflexes, molecular manipulation, illumination, and so on."
Nova,100,85,67,100,88.0,"Nova has abilities such as agility, accelerated healing, durability, energy absorption, flight, super strength, energy blasts, stamina, super speed, energy beams, fire control, reflexes, invulnerability, fire resistance, nova force, heat generation, light control, energy manipulation, heat resistance, vision - telescopic, vision - night, vision - infrared, vision - x-ray, vision - thermal, and so on."
Nova,38,60,100,100,74.5,"Nova has abilities such as agility, accelerated healing, durability, energy absorption, flight, super strength, energy blasts, stamina, super speed, energy beams, fire control, reflexes, invulnerability, fire resistance, nova force, heat generation, light control, energy manipulation, heat resistance, vision - telescopic, vision - night, vision - infrared, vision - x-ray, vision - thermal, and so on."
Onslaught,88,85,47,100,80.0,"Onslaught has abilities such as dimensional awareness, flight, intelligence, super strength, telepathy, size changing, astral travel, telekinesis, camouflage, astral projection, invulnerability, force fields, psionic powers, mind control, power absorption, intangibility, mind blast, illusions, telepathy resistance, magnetism, vision - x-ray, reality warping, and so on."
Penance II,1,1,1,0,0.75,"Penance II has abilities such as energy blasts, and so on."
Phoenix,100,80,67,100,86.75,"Phoenix has abilities such as agility, energy absorption, telepathy, telekinesis, immortality, astral projection, fire control, force fields, psionic powers, mind control, molecular manipulation, mind blast, levitation, energy manipulation, illusions, telepathy resistance, resurrection, phoenix force, and so on."
Professor X,100,8,12,90,52.5,"Professor X has abilities such as intelligence, telepathy, possession, power sense, astral projection, projection, psionic powers, mind control, mind blast, illusions, and so on."
Proto-Goblin,63,38,23,22,36.5,"Proto-Goblin has abilities such as agility, durability, super strength, natural weapons, and so on."
Psylocke,1,1,1,0,0.75,"Psylocke has abilities such as agility, stealth, super strength, telepathy, super speed, telekinesis, astral projection, psionic powers, precognition, mind control, illusions, cloaking, telepathy resistance, mind control resistance, and so on."
Punisher,50,16,23,22,27.75,"Punisher has abilities such as agility, durability, stealth, marksmanship, weapons master, stamina, weapon-based powers, peak human condition, reflexes, and so on."
Pyro,38,10,12,50,27.5,"Pyro has abilities such as fire control, and so on."
Quicksilver,63,28,100,57,62.0,"Quicksilver has abilities such as durability, super strength, super speed, molecular manipulation, time manipulation, and so on."
Quill,38,10,12,23,20.75,"Quill has abilities such as weapon-based powers, substance secretion, and so on."
Razor-Fist II,1,1,1,0,0.75,"Razor-Fist II has abilities such as weapon-based powers, peak human condition, and so on."
Red Hulk,50,88,47,59,61.0,"Red Hulk has abilities such as accelerated healing, durability, energy absorption, longevity, super strength, stamina, super speed, jump, radiation control, radiation immunity, toxin and disease resistance, radiation absorption, and so on."
Red Skull,75,10,12,19,29.0,"Red Skull has abilities such as enhanced memory, and so on."
Rhino,25,80,43,37,46.25,"Rhino has abilities such as cold resistance, durability, super strength, stamina, super speed, natural armor, power suit, heat resistance, and so on."
Ripcord,1,1,1,0,0.75,"Ripcord has abilities such as weapon-based powers, jump, and so on."
Rocket Raccoon,50,5,23,28,26.5,"Rocket Raccoon has abilities such as agility, cold resistance, marksmanship, weapons master, animal attributes, animal oriented powers, enhanced senses, enhanced hearing, enhanced smell, enhanced touch, vision - night, and so on."
Rogue,75,10,12,80,44.25,"Rogue has abilities such as energy absorption, power absorption, and so on."
Sabretooth,55,53,25,28,40.25,"Sabretooth has abilities such as agility, accelerated healing, cold resistance, durability, stealth, marksmanship, weapons master, longevity, super strength, stamina, super speed, animal oriented powers, reflexes, enhanced hearing, enhanced sight, natural weapons, enhanced smell, toxin and disease resistance, and so on."
Sage,75,10,12,28,31.25,"Sage has abilities such as power augmentation, telepathy, power sense, technopath"
Sandman,50,75,47,62,58.5,"Sandman has abilities such as agility, super strength, size changing, density control, shapeshifting, invulnerability, natural armor, intangibility, regeneration, heat resistance, natural weapons, and so on."
Sasquatch,75,80,23,15,48.25,"Sasquatch has abilities such as agility, durability, super strength, stamina, enhanced senses, jump, and so on."
Scarlet Spider,75,53,60,39,56.75,"Scarlet Spider has abilities such as agility, accelerated healing, durability, danger sense, animal attributes, super strength, stamina, super speed, animal oriented powers, enhanced senses, jump, reflexes, natural weapons, wallcrawling, vision - night, and so on."
Scarlet Spider II,88,55,60,30,58.25,"Scarlet Spider II has abilities such as agility, accelerated healing, durability, animal attributes, super strength, stamina, super speed, animal oriented powers, reflexes, wallcrawling, web creation, and so on."
Scarlet Witch,88,10,23,67,47.0,"Scarlet Witch has abilities such as agility, dimensional awareness, flight, longevity, energy blasts, teleportation, telekinesis, magic, astral projection, energy constructs, probability manipulation, levitation, illusions, reality warping, and so on."
Scorpia,38,28,42,34,35.5,"Scorpia has abilities such as super strength, energy blasts, super speed, weapon-based powers, force fields, and so on."
Scorpion,50,52,60,49,52.75,"Scorpion has abilities such as agility, durability, danger sense, super strength, super speed, weapon-based powers, reflexes, power suit, wallcrawling, and so on."
Sentry,75,80,58,97,77.5,"Sentry has abilities such as agility, accelerated healing, flight, intelligence, super strength, telepathy, energy blasts, stamina, super speed, enhanced senses, telekinesis, immortality, reflexes, invulnerability, force fields, enhanced hearing, molecular manipulation, light control, vision - telescopic, vision - infrared, resurrection, vision - thermal, and so on."
Shadow King,75,12,27,100,53.5,"Shadow King has abilities such as telepathy, possession, immortality, astral projection, psionic powers, natural weapons, and so on."
Shadowcat,88,8,21,69,46.5,"Shadowcat has abilities such as stealth, weapons master, intelligence, camouflage, phasing, intangibility, levitation, cloaking, telepathy resistance, and so on."
Shang-Chi,63,12,30,25,32.5,"Shang-Chi has abilities such as agility, durability, stealth, stamina, reflexes, toxin and disease resistance, and so on."
Shatterstar,63,48,45,42,49.5,"Shatterstar has abilities such as agility, accelerated healing, durability, super strength, energy blasts, super speed, and so on."
She-Hulk,69,100,42,33,61.0,"She-Hulk has abilities such as accelerated healing, durability, longevity, intelligence, super strength, stamina, jump, invulnerability, and so on."
She-Thing,1,1,1,0,0.75,"She-Thing has abilities such as cold resistance, durability, super strength, heat resistance, and so on."
Shocker,63,10,23,63,39.75,"Shocker has abilities such as marksmanship, weapons master, energy blasts, power suit, and so on."
Shriek,50,10,23,45,32.0,"Shriek has abilities such as flight, energy blasts, audio control, telekinesis, empathy, psionic powers, levitation, sonic scream, and so on."
Sif,50,57,25,19,37.75,"Sif has abilities such as agility, accelerated healing, durability, weapons master, longevity, super strength, stamina, super speed, teleportation, enhanced senses, dimensional travel, reflexes, and so on."
Silver Surfer,63,100,84,100,86.75,"Silver Surfer has abilities such as agility, dimensional awareness, durability, energy absorption, flight, marksmanship, super strength, energy blasts, stamina, super speed, teleportation, immortality, phasing, invulnerability, intangibility, molecular manipulation, gravity control, energy manipulation, time travel, power cosmic, portal creation, and so on."
Silverclaw,50,28,35,34,36.75,"Silverclaw has abilities such as agility, flight, super strength, super speed, animal oriented powers, enhanced senses, shapeshifting, and so on."
Siryn,38,8,47,50,35.75,"Siryn has abilities such as flight, enhanced hearing, sonar, sonic scream, and so on."
Skaar,50,85,27,62,56.0,"Skaar has abilities such as accelerated healing, super strength, stamina, jump, elemental transmogrification, and so on."
Snowbird,50,32,27,63,43.0,"Snowbird has abilities such as accelerated healing, flight, animal attributes, super strength, stamina, animal oriented powers, enhanced senses, shapeshifting, precognition, and so on."
Songbird,75,36,27,55,48.25,"Songbird has abilities such as agility, durability, flight, super strength, stamina, audio control, super speed, reflexes, and so on."
Speedball,1,1,1,0,0.75,"Speedball has abilities such as energy absorption, energy armor, telekinesis, force fields, and so on."
Spider-Girl,63,38,60,46,51.75,"Spider-Girl has abilities such as agility, accelerated healing, stealth, danger sense, intelligence, super strength, stamina, dexterity, super speed, jump, reflexes, enhanced hearing, natural weapons, wallcrawling, web creation, and so on."
Spider-Man,88,55,60,58,65.25,"Spider-Man has abilities such as agility, accelerated healing, durability, stealth, danger sense, marksmanship, animal attributes, super strength, stamina, super speed, animal oriented powers, enhanced senses, jump, reflexes, substance secretion, natural weapons, toxin and disease resistance, wallcrawling, vision - night, web creation, and so on."
Spider-Woman,50,42,42,62,49.0,"Spider-Woman has abilities such as agility, durability, flight, super strength, energy blasts, stamina, super speed, reflexes, enhanced hearing, toxin and disease control, toxin and disease resistance, wallcrawling, and so on."
Spider-Woman III,50,48,27,60,46.25,"Spider-Woman III has abilities such as agility, flight, super strength, telepathy, energy blasts, stamina, super speed, reflexes, wallcrawling, and so on."
Spider-Woman IV,1,1,1,0,0.75,"Spider-Woman IV has abilities such as agility, flight, super strength, telepathy, energy blasts, super speed, psionic powers, precognition, power absorption, hypnokinesis, wallcrawling, and so on."
Spyke,50,12,17,41,30.0,"Spyke has abilities such as accelerated healing, stamina, natural armor, heat generation, natural weapons, wallcrawling, and so on."
Stardust,88,85,100,100,93.25,"Stardust has abilities such as durability, energy absorption, flight, longevity, super strength, energy blasts, stamina, super speed, energy beams, invulnerability, force fields, self-sustenance, power cosmic, toxin and disease resistance, and so on."
Storm,75,10,47,88,55.0,"Storm has abilities such as cold resistance, flight, intelligence, enhanced senses, empathy, heat resistance, telepathy resistance, weather control, and so on."
Sunspot,63,63,35,79,60.0,"Sunspot has abilities such as accelerated healing, flight, super strength, energy blasts, stamina, fire control, substance secretion, fire resistance, heat generation, light control, heat resistance, radiation absorption, and so on."
Synch,75,67,23,74,59.75,"Synch has abilities such as power absorption, and so on."
Tempest,38,10,45,62,38.75,"Tempest has abilities such as flight, cryokinesis, fire control, force fields, wind control, and so on."
Thanos,88,100,17,100,76.25,"Thanos has abilities such as agility, accelerated healing, cold resistance, durability, flight, longevity, intelligence, super strength, telepathy, energy blasts, stamina, super speed, teleportation, enhanced senses, energy beams, magic, immortality, reflexes, invulnerability, force fields, molecular manipulation, energy manipulation, heat resistance, radiation immunity, toxin and disease resistance, telepathy resistance, omnilingualism, time manipulation, matter absorption, vision - heat, reality warping, and so on."
Thing,75,84,21,26,51.5,"Thing has abilities such as cold resistance, durability, longevity, super strength, stamina, invulnerability, fire resistance, natural armor, heat resistance, and so on."
Thor,69,100,92,100,90.25,"Thor has abilities such as agility, accelerated healing, durability, flight, longevity, super strength, stamina, super speed, weapon-based powers, teleportation, enhanced senses, magic, element control, reflexes, invulnerability, toxin and disease resistance, weather control, odin force, and so on."
Thor Girl,75,83,70,100,82.0,"Thor Girl has abilities such as durability, super strength, stamina, super speed, immortality, reflexes, invulnerability, toxin and disease resistance, and so on."
Thunderbird,50,32,27,14,30.75,"Thunderbird has abilities such as durability, super strength, stamina, super speed, and so on."
Thunderbird III,1,1,1,0,0.75,"Thunderbird III has abilities such as energy absorption, flight, energy blasts, natural weapons, and so on."
Thunderstrike,63,80,70,31,61.0,"Thunderstrike has abilities such as accelerated healing, durability, longevity, super strength, stamina, super speed, toxin and disease resistance, and so on."
Thundra,38,81,32,26,44.25,"Thundra has abilities such as agility, super strength, stamina, super speed, reflexes, and so on."
Tiger Shark,38,72,42,21,43.25,"Tiger Shark has abilities such as agility, accelerated healing, cold resistance, durability, underwater breathing, animal attributes, super strength, stamina, super speed, animal oriented powers, reflexes, natural armor, enhanced sight, natural weapons, enhanced smell, sub-mariner, and so on."
Tigra,63,32,53,33,45.25,"Tigra has abilities such as agility, super strength, stamina, super speed, enhanced senses, jump, and so on."
Tinkerer,100,10,23,10,35.75,"Tinkerer has abilities such as intelligence, and so on."
Toad,50,34,58,49,47.75,"Toad has abilities such as agility, accelerated healing, durability, animal attributes, super strength, stamina, animal oriented powers, jump, reflexes, psionic powers, substance secretion, mind control, insanity, toxin and disease control, super breath, wallcrawling, vision - infrared, and so on."
Toxin,56,73,70,75,68.5,"Toxin has abilities such as agility, accelerated healing, durability, stealth, danger sense, super strength, size changing, stamina, super speed, weapon-based powers, jump, shapeshifting, camouflage, reflexes, substance secretion, natural armor, natural weapons, wallcrawling, web creation, symbiote costume, and so on."
Ultragirl,50,80,35,35,50.0,"Ultragirl has abilities such as durability, flight, super strength, stamina, super speed, enhanced senses, reflexes, invulnerability, and so on."
Ultron,88,83,42,100,78.25,"Ultron has abilities such as agility, durability, stealth, energy absorption, flight, super strength, energy armor, energy blasts, stamina, super speed, enhanced senses, energy beams, immortality, enhanced memory, force fields, radiation control, technopath"
Utgard-Loki,50,80,23,72,56.25,"Utgard-Loki has abilities such as durability, longevity, super strength, stamina, magic, invulnerability, and so on."
Valkyrie,1,1,1,0,0.75,"Valkyrie has abilities such as durability, super strength, stamina, toxin and disease resistance, and so on."
Vanisher,63,10,75,39,46.75,"Vanisher has abilities such as teleportation, and so on."
Venom,75,57,65,79,69.0,"Venom has abilities such as accelerated healing, durability, danger sense, super strength, stamina, super speed, weapon-based powers, jump, shapeshifting, reflexes, natural weapons, wallcrawling, web creation, symbiote costume, and so on."
Venom II,50,57,47,54,52.0,"Venom II has abilities such as agility, durability, super strength, super speed, animal oriented powers, shapeshifting, camouflage, reflexes, wallcrawling, and so on."
Venom III,63,73,35,66,59.25,"Venom III has abilities such as agility, accelerated healing, durability, danger sense, super strength, stamina, super speed, animal oriented powers, camouflage, reflexes, natural weapons, wallcrawling, symbiote costume, and so on."
Vertigo II,1,1,1,0,0.75,"Vertigo II has abilities such as psionic powers, and so on."
Vindicator,1,1,1,0,0.75,"Vindicator has abilities such as durability, flight, energy beams, element control, force fields, heat generation, gravity control, water control, and so on."
Vision,100,72,54,76,75.5,"Vision has abilities such as durability, stealth, energy absorption, flight, marksmanship, intelligence, super strength, telepathy, energy blasts, density control, stamina, super speed, energy beams, phasing, reflexes, invulnerability, technopath"
Vulture,63,22,47,40,43.0,"Vulture has abilities such as agility, flight, marksmanship, super strength, super speed, animal oriented powers, gravity control, levitation, and so on."
Walrus,50,28,8,11,24.25,"Walrus has abilities such as durability, super strength, natural armor, natural weapons, and so on."
War Machine,63,80,63,100,76.5,"War Machine has abilities such as durability, energy absorption, flight, underwater breathing, marksmanship, super strength, energy blasts, super speed, weapon-based powers, energy beams, phasing, power suit, radiation immunity, vision - telescopic, magnetism, invisibility, vision - night, vision - thermal, and so on."
Warlock,88,36,79,71,68.5,"Warlock has abilities such as agility, durability, flight, super strength, energy blasts, stamina, super speed, reflexes, energy manipulation, and so on."
Warpath,38,72,47,26,45.75,"Warpath has abilities such as agility, cold resistance, durability, super strength, stamina, super speed, reflexes, enhanced hearing, heat resistance, vision - telescopic, vision - night, and so on."
Wasp,63,8,58,23,38.0,"Wasp has abilities such as agility, stealth, flight, intelligence, super strength, energy blasts, size changing, animal oriented powers, weapon-based powers, and so on."
Watcher,100,80,67,100,86.75,"Watcher has abilities such as dimensional awareness, flight, intelligence, telepathy, size changing, teleportation, immortality, phasing, invulnerability, force fields, empathy, psionic powers, enhanced hearing, energy manipulation, illusions, telepathy resistance, omnilingualism, invisibility, and so on."
Weapon XI,1,1,1,0,0.75,"Weapon XI has abilities such as agility, accelerated healing, super strength, energy blasts, super speed, weapon-based powers, teleportation, and so on."
Winter Soldier,56,32,35,60,45.75,"Winter Soldier has abilities such as marksmanship, longevity, super strength, energy blasts, peak human condition, and so on."
Wolfsbane,38,16,35,26,28.75,"Wolfsbane has abilities such as animal attributes, super strength, super speed, enhanced senses, shapeshifting, reflexes, natural weapons, vision - thermal, and so on."
Wolverine,55,32,38,44,42.25,"Wolverine has abilities such as agility, accelerated healing, cold resistance, durability, stealth, longevity, super strength, stamina, animal oriented powers, enhanced senses, jump, reflexes, empathy, enhanced hearing, enhanced sight, regeneration, natural weapons, enhanced smell, vision - telescopic, toxin and disease resistance, vision - night, and so on."
Wonder Man,75,100,53,64,73.0,"Wonder Man has abilities such as durability, flight, longevity, super strength, energy blasts, size changing, stamina, super speed, reflexes, invulnerability, self-sustenance, and so on."
X-23,75,24,35,27,40.25,"X-23 has abilities such as agility, accelerated healing, durability, stealth, marksmanship, longevity, super strength, stamina, jump, reflexes, enhanced hearing, enhanced sight, natural weapons, enhanced smell, vision - telescopic, toxin and disease resistance, vision - night, and so on."
X-Man,88,53,53,92,71.5,"X-Man has abilities such as flight, telepathy, astral travel, teleportation, telekinesis, phasing, astral projection, psionic powers, mind control, intangibility, illusions, and so on."
Yellowjacket,88,10,12,12,30.5,"Yellowjacket has abilities such as size changing, animal oriented powers, and so on."
Yellowjacket II,50,10,35,31,31.5,"Yellowjacket II has abilities such as flight, energy blasts, size changing, and so on."
Ymir,50,100,27,83,65.0,"Ymir has abilities such as cold resistance, durability, longevity, super strength, cryokinesis, immortality, and so on."
